pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_ADIPOGENESIS	0.19179385496248635	0.22301611042149577	-0.2428267206203401	-1.132270576038027	134257	199
HALLMARK_ALLOGRAFT_REJECTION	1.4363626700832947e-6	7.410926224970524e-6	-0.4559096198166014	-2.1150763360133324	0	191
HALLMARK_ANDROGEN_RESPONSE	0.0303964190604997	0.047494404782030784	-0.3314288301477991	-1.396598382793758	19597	97
HALLMARK_ANGIOGENESIS	0.1712907235298588	0.20391752801173665	0.3283695259531934	1.214292119947547	69869	36
HALLMARK_APICAL_JUNCTION	0.1206945621094991	0.15086820263687387	0.2292263125754553	1.1566119514041762	36470	194
HALLMARK_APICAL_SURFACE	0.9166316041059296	0.9166316041059296	0.1897237825309392	0.7274471966451098	368176	42
HALLMARK_APOPTOSIS	0.0011348718785510685	0.0023643164136480594	-0.35151387609426743	-1.5893634915354489	771	156
HALLMARK_BILE_ACID_METABOLISM	0.013655293469781102	0.02275882244963517	0.310391640833049	1.4326921527661014	4760	107
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0029044988664010184	0.005808997732802037	-0.4103586019878697	-1.6509320521467548	1822	74
HALLMARK_COAGULATION	0.1081232002607924	0.13861948751383643	-0.28041499342310217	-1.2291377126250569	71641	125
HALLMARK_COMPLEMENT	5.753342692104112e-6	1.9177808973680375e-5	-0.39025080068658347	-1.8081482394215942	3	189
HALLMARK_DNA_REPAIR	1.489642515589109e-6	7.410926224970524e-6	-0.4455830138090618	-1.9865792340668964	0	141
HALLMARK_E2F_TARGETS	1.4330219854233004e-6	7.410926224970524e-6	-0.6536166228378806	-3.0384833698964666	0	194
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.7185145363963306	0.748452642079511	-0.19377586264030275	-0.8983874541945159	499871	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	5.005737234652898e-4	0.0011376675533302041	-0.34372642336098763	-1.596800334304788	348	193
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00406497090321566	0.007527723894843814	-0.315563415890829	-1.470472908217694	2842	198
HALLMARK_FATTY_ACID_METABOLISM	0.4070348348259734	0.45226092758441494	-0.22680750342213268	-1.0217739285626048	275875	152
HALLMARK_G2M_CHECKPOINT	1.4322707793844672e-6	7.410926224970524e-6	-0.6238606987928086	-2.9018898016951677	0	195
HALLMARK_GLYCOLYSIS	4.299065956269901e-6	1.7912774817791254e-5	-0.4108326485617805	-1.9098476489866032	2	194
HALLMARK_HEDGEHOG_SIGNALING	0.026888745608637347	0.04336894453006024	0.40886948458924155	1.5119764593944125	10967	36
HALLMARK_HEME_METABOLISM	0.034236755181814245	0.05187387148759734	-0.2854762727450731	-1.3183990013593618	23735	184
HALLMARK_HYPOXIA	0.03733092229421853	0.05489841513855666	-0.28136226434242856	-1.306232746173691	26011	192
HALLMARK_IL2_STAT5_SIGNALING	7.816537560180897e-4	0.0016992472956914994	-0.33733434402375545	-1.57002317016336	545	196
HALLMARK_IL6_JAK_STAT3_SIGNALING	4.696298221198777e-6	1.8062685466149144e-5	-0.49404282824870294	-2.048823979217153	2	88
HALLMARK_INFLAMMATORY_RESPONSE	1.4322707793844672e-6	7.410926224970524e-6	-0.449670920408029	-2.0916455557722347	0	195
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.7981545165084993	0.8144433841923463	-0.19925871240281853	-0.8368425839244983	513625	95
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.5806769484611685e-5	8.951692371152921e-5	-0.3700585970176634	-1.7213286087633866	24	195
HALLMARK_KRAS_SIGNALING_DN	0.5334598529571548	0.5675104818693136	-0.21058780460229126	-0.968536330407815	368233	178
HALLMARK_KRAS_SIGNALING_UP	0.003125525170101249	0.006010625327117787	-0.3216286638109101	-1.4921141082385918	2175	191
HALLMARK_MITOTIC_SPINDLE	5.729083117537869e-6	1.9177808973680375e-5	-0.39533936618022397	-1.838922177894768	3	195
HALLMARK_MTORC1_SIGNALING	1.431600285747417e-6	7.410926224970524e-6	-0.6287227809181604	-2.926204672422979	0	196
HALLMARK_MYC_TARGETS_V1	1.4298174123164472e-6	7.410926224970524e-6	-0.6400813838192748	-2.9826725360532804	0	198
HALLMARK_MYC_TARGETS_V2	1.6304037694935152e-6	7.410926224970524e-6	-0.6427497611323582	-2.4619731909035374	0	57
HALLMARK_MYOGENESIS	2.6111705877744993e-5	6.871501546774999e-5	0.3401403480305609	1.705309908727604	7	185
HALLMARK_NOTCH_SIGNALING	0.40245301062131816	0.45226092758441494	-0.30558274876664177	-1.0349214129799376	236515	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.4343086632243258e-6	7.410926224970524e-6	-0.43095410231667214	-2.002021398065685	0	193
HALLMARK_P53_PATHWAY	8.624382278619293e-6	2.695119462068529e-5	-0.39130850815055657	-1.8141921787988242	5	190
